A579 Bradford Street, Jct Castle Street, Bolton
A579 Derby Street, Jct University Way, Bolton
A579 Trinity Street, Jct Manchester Road, Bolton
A673 Chorley New Road, Jct Tudor Avenue, Bolton
A579 Newbrook Road, North of Firs Road, Bolton
A579 Newbrook Road, South of Firs Road, Bolton
A58 Bury Road, West of Torridon Road, Bolton
A58 Crompton Way, East of Seymour Road, Bolton
A6 Chorley Road, South East of Wimberry Hill Road, Bolton
A6 Manchester Road, South East of Blackrod Bypass Road, Bolton
A6 Manchester Road, South East of Blackrod Bypass Road, Bolton
A666 Blackburn Road, North West of Longworth Road, Bolton
A666 Manchester Road, Teak Drive, Bolton
A666 St Peters Way, adj to Manchester Road, Bolton
A666 St Peters Way, All Saints School, Bolton
A666 St Peters Way,   Burnden Road, Bolton
A666 St Peters Way, opp Rowena Street, Bolton
A673 Chorley New Road, East of Somerset Road, Bolton
A673 Chorley New Road, jct of Lindsay Street, Bolton
A676 Wigan Road,   Hythe Street, Bolton
A56 Bury New Road, Jct Fairfax Road, Prestwich
A56 Bury New Road, Jct Hilton Lane, Prestwich
A56 Bury New Road, Jct Moss Lane, Whitefield
A56 Manchester Road, Jct Parkhills Road, Bury
A58 Angouleme Way, Jct Knowsley Street, Bury
A58 Bury & Bolton Road, Starling Road, Bury
A58 Rochdale Road, Jct Heywood Street, Bury
A56 Peel Way, East of  Bolton Street, Bury
A56 Peel Way, West of jct of Walmersley Road, Bury
A58 Bolton Road, Powell Street, Bury
A665 Bolton Road, Jct Monton Street, Radcliffe
A34 Kingsway, Jct Parrs Wood Lane, Manchester
A34 Kingsway, Parrs Wood Lane, Manchester
A34 Oxford Road, Jct Charles Street, Manchester
A34 Oxford Road, Jct Hulme Street, Manchester
A34 Oxford St, Jct Whitworth Street, Manchester
A34 Princess Street, Jct Whitworth Street, Manchester
A5103 Princess Road,   Merseybank Avenue, Manchester
A5103 Princess Road, Jct Wilbraham Road, Manchester
A56 Great Ducie Street, Jct Trinity Way, Manchester
A6010 Queens Road, Jct Cheetham Hill Road, Manchester
A6010 Wilbraham Road, Jct Withington Road, Manchester
